paper_id,source_record_id,library,expected_record,current_filename,current_relpath,file_exists,file_size_bytes,page_count,pdf_readable,pdf_status,pdf_match_status,identity_basis,verification_flags,notes
A016,A-NG-16,A,yes,A-NG-16_2025_Lian_DieselNG_Interaction_LES_HPDI_DualFuel.pdf,02_PDF_Raw/A/A-NG-16_2025_Lian_DieselNG_Interaction_LES_HPDI_DualFuel.pdf,yes,10018090,14,yes,downloaded,matched,source_record_id_filename;embedded_title;embedded_authors;first_author_front_matter;year_front_matter;doi_pdf;title_descriptor_consistent,,
A017,A-NG-17,A,yes,A-NG-17_2026_Yang_InjectorStructure_InjectionPressure_Commercial_HPDI.pdf,02_PDF_Raw/A/A-NG-17_2026_Yang_InjectorStructure_InjectionPressure_Commercial_HPDI.pdf,yes,13320267,12,yes,downloaded,matched,source_record_id_filename;embedded_title;embedded_authors;first_author_front_matter;year_front_matter;doi_pdf;title_descriptor_consistent,,
A018,A-H2-01,A,yes,A-H2-01_2021_Liu_Performance_Emissions_H2DDI.pdf,02_PDF_Raw/A/A-H2-01_2021_Liu_Performance_Emissions_H2DDI.pdf,yes,2655403,13,yes,downloaded,matched,source_record_id_filename;embedded_title;embedded_authors;first_author_front_matter;year_front_matter;doi_pdf;title_descriptor_consistent,,
A019,A-H2-02,A,yes,A-H2-02_2022_Liu_HydrogenMainFuel_DieselPilot_DirectInjection.pdf,02_PDF_Raw/A/A-H2-02_2022_Liu_HydrogenMainFuel_DieselPilot_DirectInjection.pdf,yes,3993335,13,yes,downloaded,matched,source_record_id_filename;embedded_title;embedded_authors;first_author_front_matter;year_front_matter;doi_pdf;title_descriptor_consistent,,
A020,A-H2-03,A,yes,A-H2-03_2023_Rorimpandey_H2DDI_Combustion_CI_Conditions.pdf,02_PDF_Raw/A/A-H2-03_2023_Rorimpandey_H2DDI_Combustion_CI_Conditions.pdf,yes,8299931,18,yes,downloaded,matched,source_record_id_filename;embedded_title;embedded_authors;first_author_front_matter;year_front_matter;doi_pdf;title_descriptor_consistent,,
A021,A-H2-04,A,yes,A-H2-04_2024_Rorimpandey_EnergyShare_AmbientOxygen_H2DDI.pdf,02_PDF_Raw/A/A-H2-04_2024_Rorimpandey_EnergyShare_AmbientOxygen_H2DDI.pdf,yes,7266476,16,yes,downloaded,matched,source_record_id_filename;embedded_title;embedded_authors;first_author_front_matter;year_front_matter;doi_pdf;title_descriptor_consistent,,
A022,A-H2-05,A,yes,A-H2-05_2024_Rorimpandey_JetInteractionAngle_H2DDI.pdf,02_PDF_Raw/A/A-H2-05_2024_Rorimpandey_JetInteractionAngle_H2DDI.pdf,yes,6524464,20,yes,downloaded,matched,source_record_id_filename;embedded_title;embedded_authors;first_author_front_matter;year_front_matter;doi_pdf;title_descriptor_consistent,,
A023,A-H2-06,A,yes,A-H2-06_2024_Liu_SplitInjection_HighPressure_HydrogenDI.pdf,02_PDF_Raw/A/A-H2-06_2024_Liu_SplitInjection_HighPressure_HydrogenDI.pdf,yes,17254254,14,yes,downloaded,matched,source_record_id_filename;embedded_title;embedded_authors;first_author_front_matter;year_front_matter;doi_pdf;title_descriptor_consistent,,
A024,A-H2-07,A,yes,A-H2-07_2024_Ramsay_HeavyDuty_DieselHydrogen_HPDI_Modeling.pdf,02_PDF_Raw/A/A-H2-07_2024_Ramsay_HeavyDuty_DieselHydrogen_HPDI_Modeling.pdf,yes,6977334,23,yes,downloaded,matched,source_record_id_filename;embedded_title;embedded_authors;first_author_front_matter;year_front_matter;doi_pdf;title_descriptor_consistent,,
A025,A-H2-08,A,yes,A-H2-08_2024_Lucchini_H2DDI_FGM_TransportedPDF.pdf,02_PDF_Raw/A/A-H2-08_2024_Lucchini_H2DDI_FGM_TransportedPDF.pdf,yes,3509747,7,yes,downloaded,matched,source_record_id_filename;embedded_title;embedded_authors;first_author_front_matter;year_front_matter;doi_pdf,,
A026,A-H2-09,A,yes,A-H2-09_2025_Heaton_HydrogenInjectionTiming_EnergyProportion_Flame.pdf,02_PDF_Raw/A/A-H2-09_2025_Heaton_HydrogenInjectionTiming_EnergyProportion_Flame.pdf,yes,16768030,14,yes,downloaded,matched,source_record_id_filename;embedded_title;embedded_authors;first_author_front_matter;year_front_matter;doi_pdf;title_descriptor_consistent,,
